title,price,availability,rating,category,image_path,id
The Last Mile (Amos Decker #2),54.21,In stock,Two,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/37f118b4a56d866e1e8b563759d6966c.jpg,17
That Darkness (Gardiner and Renner #1),13.92,In stock,One,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/449ed681142bc336646abee754e96639.jpg,18
Tastes Like Fear (DI Marnie Rome #3),10.69,In stock,One,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/3c91d97266bd6dda322089695fb46daf.jpg,19
A Time of Torment (Charlie Parker #14),48.35,In stock,Five,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/e8c0ba15066bab950ae161fd60949b9a.jpg,20
A Study in Scarlet (Sherlock Holmes #1),16.73,In stock,Two,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/8fa41d6caa10e427356b8a590eb4d96b.jpg,21
Poisonous (Max Revere Novels #3),26.8,In stock,Three,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/2352718971d5e166fa9541a5a7d716fa.jpg,22
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,In stock,Four,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/c38d65cd155b67ca025f0655bd1bb095.jpg,23
Most Wanted,35.28,In stock,Three,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,24
Hide Away (Eve Duncan #20),11.84,In stock,One,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/5707c3d5d4fd44d943d51730ba7d429a.jpg,25
Boar Island (Anna Pigeon #19),59.48,In stock,Three,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/d58157866ea8f015a8e4c55b23b8c96f.jpg,26
The Widow,27.26,In stock,Two,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/fd71fb07247bf911505a351c0670c6dc.jpg,27
Playing with Fire,13.71,In stock,Three,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,28
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,In stock,Five,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/c7abb5e32bd37118a87523dcee0a70a6.jpg,29
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,In stock,Five,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/95d7541679fcbd579b8a4f2b47231aaf.jpg,30
Delivering the Truth (Quaker Midwife Mystery #1),20.89,In stock,Four,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,31
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,In stock,Four,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/3294e5eaf73a37958583483fc9a90f04.jpg,32
In the Woods (Dublin Murder Squad #1),38.38,In stock,Two,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/24a175dac7cb91ff26e2d723cdc6e098.jpg,33
The Silkworm (Cormoran Strike #2),23.05,In stock,Five,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,34
The Exiled,43.45,In stock,Three,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/2d1aeb1cc8a23064164e230fa232cc04.jpg,35
The Cuckoo's Calling (Cormoran Strike #1),19.21,In stock,One,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/11815f24d043f77d4f09a3522a688a5c.jpg,36
Extreme Prey (Lucas Davenport #26),25.4,In stock,Three,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/de86d4f1563fad2ca088922fbbb2b36a.jpg,37
Career of Evil (Cormoran Strike #3),24.72,In stock,Two,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/9eff8b66d583e8f0ba58a0bc86de40f2.jpg,38
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,In stock,Four,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/342ec55d460f3dd49d77dac2bd4ff489.jpg,39
The Girl You Lost,12.29,In stock,Five,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/900dba6987796f4312a6a6737b0ea94d.jpg,40
The Girl In The Ice (DCI Erika Foster #1),15.85,In stock,Three,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/d8f77fe7f4bb8610e903741441f84702.jpg,41
Blood Defense (Samantha Brinkman #1),20.3,In stock,Three,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg,42
1st to Die (Women's Murder Club #1),53.98,In stock,One,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/2b4161c5b72a4ae386b644682361b34a.jpg,43
Tipping the Velvet,53.74,In stock,One,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,44
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,Three,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/d658a1485b130ff26ca5fb0d5975ed2e.jpg,45
A Flight of Arrows (The Pathfinders #2),55.53,In stock,Five,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/8296f92b70fb1dafefecda92c1d51941.jpg,46
The House by the Lake,36.95,In stock,One,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,47
Mrs. Houdini,30.25,In stock,Five,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/0efe86960cdff718aed01a5c3f65b1c3.jpg,48
The Marriage of Opposites,28.08,In stock,Four,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/0fc21ec3489cb23116778ee84f425eca.jpg,49
Glory over Everything: Beyond The Kitchen House,45.84,In stock,Three,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/964194a317f8ce5ed031bf4c9ceb43ab.jpg,50
"Love, Lies and Spies",20.55,In stock,Two,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/7a224a6e174af91950e9b124afe54e0e.jpg,51
A Paris Apartment,39.01,In stock,Four,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/16575316618bd7e922d5b0e0f87de2ca.jpg,52
Lilac Girls,17.28,In stock,Two,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/6c2e764e3ea89859b52df8de4f12af7a.jpg,53
The Constant Princess (The Tudor Court #1),16.62,In stock,Three,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg,54
The Invention of Wings,37.34,In stock,One,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/62fa1e72f06f05762db5d9cedf654153.jpg,55
World Without End (The Pillars of the Earth #2),32.97,In stock,Four,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg,56
The Passion of Dolssa,28.32,In stock,Five,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/6b822681c4035131560d40dd3b5a6a2e.jpg,57
Girl With a Pearl Earring,26.77,In stock,One,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/b7ad37d93d8401c84d7325aa645ff6d5.jpg,58
Voyager (Outlander #3),21.07,In stock,Five,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/b5d813da01f2ccd7bcfe34e2b875e752.jpg,59
The Red Tent,35.66,In stock,Five,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/b28f211e50e74445ca071d4279d1080d.jpg,60
The Last Painting of Sara de Vos,55.55,In stock,Two,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/bffd473ab232c5f35e8c81bb927f1624.jpg,61
The Guernsey Literary and Potato Peel Pie Society,49.53,In stock,One,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/18f7bf6366cd7a8b947fd790d808047b.jpg,62
Girl in the Blue Coat,46.83,In stock,Two,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg,63
Between Shades of Gray,20.79,In stock,Five,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/f919f64fc0e3642cdc604134bfd93774.jpg,64
While You Were Mine,41.32,In stock,Five,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/45e87bcad554d79eadf0f89df9cac6f9.jpg,65
The Secret Healer,34.56,In stock,Three,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/69d225899cce0a150c605ead01e02f60.jpg,66
Starlark,25.83,In stock,Three,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/b49e66e8f446d9a3dae488955f2aa487.jpg,67
Lost Among the Living,27.7,In stock,Four,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/5a40d914bc3491e5909f1167f9cb34f2.jpg,68
A Spy's Devotion (The Regency Spies of London #1),16.97,In stock,Five,Historical Fiction,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg,69
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,Five,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/94b1b8b244bce9677c2f29ccc890d4d2.jpg,70
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/36df4caaf1420b1183a8235355d39e69.jpg,71
This One Summer,19.49,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/c4ddd9ced89966b0602ec85e00cd5b61.jpg,72
The Nameless City (The Nameless City #1),38.16,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/f479de5f305c2ac0512702cf7155bb74.jpg,73
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,74
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,75
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,Five,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/780b2c28122750c2c383846155815bf7.jpg,76
"Pop Gun War, Volume 1: Gift",18.97,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/c82f629a31b3f47bdb17ac14aa51076d.jpg,77
Patience,10.16,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/01726c619a05114dca75bd840095016d.jpg,78
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/cb004189f548d75ad430d3ed19e6daa9.jpg,79
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/03886a8502ca54dbce0d91c2568ab69d.jpg,80
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/d3158e8d3546fb90cced3c1d44a92a34.jpg,81
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/7ea062007ef00107e3c16d336b41fab2.jpg,82
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/5fb1bf88dcfda795606745ce35be5975.jpg,83
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/aa74004807e97a79aa084b5db329a99b.jpg,84
I am a Hero Omnibus Volume 1,54.63,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/16d443437126bf6d536a89312c1995a5.jpg,85
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/906f0168b0e155a7077625499b1737b5.jpg,86
Danganronpa Volume 1,51.99,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/7897eea91c4a85aca58d925861d4afec.jpg,87
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/f688a9d6a89fdf38e4e88439ee9eda69.jpg,88
Camp Midnight,17.08,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/ddc95df6754df8e71bf969c088056188.jpg,89
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/e41d34204a1fffbf825d8beb3dbf4cbc.jpg,90
The Shadow Hero (The Shadow Hero),33.14,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/1f621dda1b302fc16d83d94b0b5ac31c.jpg,91
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/518c184a793b751b43045637c8002eb7.jpg,92
Batman: The Long Halloween (Batman),36.5,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/78a7f184a4d6d62412861c68f1c3ad90.jpg,93
Batman: The Dark Knight Returns (Batman),15.38,In stock,Five,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/bea95dbd7b2a843519c9a1dcfc433f9b.jpg,94
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/19396172462f4cc0504d4e6e8b0e1647.jpg,95
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/66d6d2b4c0acfa8f40ad0285186ed2d8.jpg,96
Through the Woods,25.38,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/4caf8f2a5ee8828d408cc8faadd3419c.jpg,97
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,In stock,Five,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/7ec0e9ca6153a23b2024b7df7407ee84.jpg,98
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/b2484d13793ff1c4271a3d4023d4d24e.jpg,99
Robin War,47.82,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/451d3543022242b8b245793e6b5c26bb.jpg,100
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/da78757466c3b0a2c89f0ddf6b5e642f.jpg,101
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/c822360ce0f91c40f7a0491c22287646.jpg,102
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/b2978e96069dd91785e5ab0bc99c022e.jpg,103
El Deafo,57.62,In stock,Five,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg,104
Batman: Europa,32.01,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/f1fecf0ce9b5771e4d2c9619e8550988.jpg,105
Art Ops Vol. 1,48.8,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/0bb4c64f1522c033368df5567a349472.jpg,106
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/a2b974e5a66e7502c77d2e4632abe033.jpg,107
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/7cea6ff4f6f1427739b136db35fbfad4.jpg,108
Roller Girl,14.1,In stock,Five,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/b8bd3e5bc547c7c851689a844c9db429.jpg,109
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/b43672509477baa090e57ebeacbb28fb.jpg,110
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/941a14dec32f0a949c38a325a715c138.jpg,111
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/075c210f5ce43b84d29646a54529d1bd.jpg,112
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/51cf19c74f21a7043910615fefcf0847.jpg,113
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/4ec161cc09ee437c9eda6d437d232a11.jpg,114
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/477173fe3000a6da4b241c2e71a21418.jpg,115
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,In stock,Four,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/38794d8729a111018260d931e7101de2.jpg,116
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/eeeddf8af9e6cc8c7f71c0e41de1b562.jpg,117
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,In stock,Five,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/bb1845c22faea465cad3d556d22936a2.jpg,118
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,In stock,Five,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/d8fd30b3e5781e880a3efe4c9495b417.jpg,119
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/c9a559e3ba407c1d70ebfc4e2f0d82db.jpg,120
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/14987a55d9609e706d2619814e2a8b0a.jpg,121
Original Fake,31.45,In stock,Three,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/e72934871f9b42a807d976670a446e12.jpg,122
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/f94cfc3c82abb799568d1ea029b1d3d1.jpg,123
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/7be75475a916d6df4edebfc5fe36c3f9.jpg,124
"Black Butler, Vol. 1 (Black Butler #1)",49.31,In stock,One,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/9948564dec3ac2f9e32419911b181e37.jpg,125
Awkward,38.02,In stock,Two,Sequential Art,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images/417255e608c389aedfb68491dae92c9c.jpg,126
